time,CON_VAL_MO,tariff
2013-01-01,139933973906.0,1.827162995254843
2013-02-01,131959480737.0,1.8229351953834372
2013-03-01,140214570157.0,1.5159764328485386
2013-04-01,146094398799.0,1.6007623579173165
2013-05-01,148811835797.0,1.6253922935938687
2013-06-01,143713532178.0,1.7250421323786163
2013-07-01,150281232750.0,1.918111941359491
2013-08-01,148915878091.0,1.8830615015320356
2013-09-01,148845993605.0,1.8086155843361371
2013-10-01,159462661535.0,1.7761820608884897
2013-11-01,151269282166.0,1.6278669890809296
2013-12-01,142222559235.0,1.6832748284639598
2014-01-01,143413882394.0,1.8840616786154614
2014-02-01,132401007752.0,1.777923651766496
2014-03-01,151471234914.0,1.5691811711639478
2014-04-01,155912929136.0,1.585334798529726
2014-05-01,157165694957.0,1.5794806994485513
2014-06-01,157059751813.0,1.6911142252168994
2014-07-01,159983480822.0,1.8273916244219972
2014-08-01,157481683459.0,1.84034714916833
2014-09-01,162067597469.0,1.767351957906255
2014-10-01,173032141807.0,1.7379493865100752
2014-11-01,155635673658.0,1.5974786117888222
2014-12-01,158045503427.0,1.5822057868005148
2015-01-01,149708492482.0,1.7563455802723698
2015-02-01,135942684580.0,1.7386363748091873
2015-03-01,167471361487.0,1.7271459235282618
2015-04-01,161181433104.0,1.5815771090428012
2015-05-01,156311700597.0,1.6752119111998558
2015-06-01,165931659617.0,1.7353451822553767
2015-07-01,162114172196.0,1.8848171554709963
2015-08-01,160638867169.0,1.9538493954255756
2015-09-01,162450707195.0,1.8211723568852882
2015-10-01,168906685596.0,1.7003936208123758
2015-11-01,157066452034.0,1.635003287935796
2015-12-01,153996779031.0,1.6479625177674213
2016-01-01,143210166136.0,1.8198984376045888
2016-02-01,147007397172.0,1.8139555194491312
2016-03-01,154359864912.0,1.4592282458164374
2016-04-01,150748195578.0,1.537491351132463
2016-05-01,155997618649.0,1.618450800637388
2016-06-01,160139733071.0,1.6619749339909275
2016-07-01,153854779648.0,1.8178421725986054
2016-08-01,165183464680.0,1.8202404156038072
2016-09-01,159091719048.0,1.6915440357948857
2016-10-01,166242306307.0,1.6857447242248695
2016-11-01,162786038957.0,1.5635091825487006
2016-12-01,156072122463.0,1.619339194031372
2017-01-01,156190070003.0,1.7720805912609154
2017-02-01,143176027343.0,1.6630321976288667
2017-03-01,163319966240.0,1.4459741888077922
2017-04-01,159008220365.0,1.5401838316146983
2017-05-01,168403719697.0,1.5495759414906127
2017-06-01,169098551219.0,1.594331000806988
2017-07-01,164536158218.0,1.7568351603117531
2017-08-01,171854168313.0,1.7330607725356535
2017-09-01,166880831965.0,1.6656628027735276
2017-10-01,180031189844.0,1.6250392276666399
2017-11-01,177175967390.0,1.5215135053085937
2017-12-01,171592490681.0,1.5047708316095365
2018-01-01,169261413410.0,1.6923326429169276
2018-02-01,161375394883.0,1.6573722406313092
2018-03-01,178044137085.0,1.3979440445218072
2018-04-01,172309598705.0,1.5229383596282806
2018-05-01,182852875937.0,1.6308401531663244
2018-06-01,178450326454.0,1.868741743579618
2018-07-01,182262064283.0,2.193313979914614
2018-08-01,188038077975.0,2.2263981306789358
2018-09-01,179061589208.0,2.3483317011754377
2018-10-01,200171905096.0,2.8757409753578
2018-11-01,183422176074.0,2.795860449246368
2018-12-01,178936191329.0,3.0035595086062212
2019-01-01,176828619366.0,2.9454896541489743
2019-02-01,158571037250.0,2.762193137511308
2019-03-01,177111957402.0,2.393950865991683
2019-04-01,177170410676.0,2.488227712053938
2019-05-01,184097935585.0,2.672020458767601
2019-06-01,175067716668.0,3.1107663055477808
2019-07-01,186256697802.0,3.3100082610472437
2019-08-01,183402345956.0,3.2232828523459807
2019-09-01,176284065452.0,3.747827454546059
2019-10-01,188460702116.0,3.4596756617126343
2019-11-01,169713038326.0,3.3435769655481264
2019-12-01,169178993087.0,3.3965279483871975
2020-01-01,165930941147.0,3.7324620671640023
2020-02-01,150624560877.0,3.143869257728133
2020-03-01,164044853833.0,2.316277796113119
2020-04-01,137889438875.0,3.1410559948150345
2020-05-01,132760986700.0,3.385568032238796
2020-06-01,155144723762.0,3.0693962221397637
2020-07-01,170323652079.0,3.2275561895832476
2020-08-01,174856589394.0,3.3837518371515403
2020-09-01,178708698532.0,3.3571083099381003
2020-10-01,192811044435.0,3.217996113854203
2020-11-01,185698295684.0,3.1370325266275048
2020-12-01,187141760423.0,3.1501375110904792
2021-01-01,176317597860.0,3.499199021471968
2021-02-01,163635811420.0,3.4649561344779136
2021-03-01,201444816768.0,3.4083436631220736
2021-04-01,192820170952.0,3.2555262724887077
2021-05-01,194329819994.0,3.4115736340437586
2021-06-01,203156685880.0,3.335523098660227
2021-07-01,199187342087.0,3.469641500101654
2021-08-01,206005706697.0,3.647897057071884
2021-09-01,207193479079.0,3.5754562097851497
2021-10-01,209624613155.0,3.5199441172225736
2021-11-01,214126809138.0,3.360563145721012
2021-12-01,218081098825.0,3.4056551035447122
2022-01-01,208941583734.0,3.6138296853405625
2022-02-01,196677860924.0,3.567053325697375
2022-03-01,241873918209.0,3.327657892425257
2022-04-01,225284719130.0,3.3180263800699974
2022-05-01,233127283651.0,3.3045633240993473
2022-06-01,236682084856.0,3.282532124781158
2022-07-01,221464816921.0,3.5112076442254274
2022-08-01,236247893626.0,3.508997635815391
2022-09-01,233086581106.0,3.201367525145753
2022-10-01,235788572824.0,3.0220865759762123
2022-11-01,216065564933.0,2.905953357235332
2022-12-01,212484446430.0,2.92426938884065
2023-01-01,214013575741.0,3.0030799503008994
2023-02-01,193309924257.0,2.8770797140274627
