time,ai_relevant_CON_VAL_MO,not_ai_relevant_CON_VAL_MO
2023-12-01,30215868851.0,137624362137.0
2024-01-01,31441601730.0,140396656259.0
2024-02-01,28955050572.0,135635939700.0
2024-03-01,33212872492.0,143106000280.0
2024-04-01,34670970607.0,148609084564.0
2024-05-01,36076484316.0,147683020974.0
2024-06-01,37943312113.0,142573123533.0
2024-07-01,41924370507.0,152691957051.0
2024-08-01,41917926157.0,151043671785.0
2024-09-01,44058376262.0,156739654836.0
2024-10-01,42022160169.0,163086138209.0
2024-11-01,40342957653.0,149465970462.0
2024-12-01,43536511112.0,146059852732.0
2025-01-01,42516740868.0,158917929883.0
2025-02-01,40500943718.0,147693214073.0
2025-03-01,50170218343.0,186638262032.0
2025-04-01,49842376244.0,141992532174.0
2025-05-01,52259787371.0,141756444466.0
2025-06-01,52638446527.0,128630085149.0
2025-07-01,57833275988.0,137570769158.0
2025-08-01,53594580889.0,128620487875.0
2025-09-01,52082209807.0,146807315784.0
2025-10-01,62662840104.0,134186454452.0
2025-11-01,60193987272.0,125922482566.0
2025-12-01,68709201770.0,129360028337.0
